频道,#genre#
CCTV-1,http://mtw.so/5UqsjP
CCTV-2,http://mtw.so/69sStd
CCTV-3,http://mtw.so/6gZ5xU
CCTV-4,http://mtw.so/6oviAZ
CCTV-5,http://mtw.so/5x7cQz
CCTV-5+,http://mtw.so/6pfT4t
CCTV-6,http://mtw.so/6pfG2z
CCTV-7,http://mtw.so/5M9CJP
CCTV-8,http://mtw.so/5UqsjZ
CCTV-9,http://mtw.so/61WFoG
CCTV-10,http://mtw.so/69sStn
CCTV-11,http://mtw.so/6gZ5ws
CCTV-12,http://mtw.so/6w1vFQ
CCTV-13,http://mtw.so/5x7cQJ
CCTV-14,http://mtw.so/5EDpFi
CCTV-15,http://mtw.so/5MUffs
CCTV-16,http://mtw.so/5Uqsk9
CCTV-17,http://mtw.so/61WFoQ
CCTV-4K,http://mtw.so/5Fofqw
CCTV-8K,http://mtw.so/5xRPVl
CCTV-1,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8
CCTV-2,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-2-HQ/G_CCTV-2-HQ.m3u8
CCTV-3,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8
CCTV-4,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-4-HQ/G_CCTV-4-HQ.m3u8
CCTV-5,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8
CCTV-5+,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ.m3u8
