18台,mitv://generationnexxxt.com:19806/c79250e95abb41a0af77631c77d30ed3
39,http://113.117.74.17:808/hls/39/index.m3u8
4K,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240282_1/encoder/0/playlist.m3u8?CONTENTID=00000110240282_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
4K,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240282_1/playlist.m3u8?CONTENTID=00000110240282_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
4K,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000202/index.m3u8?blog.ntnas.top
4K,http://live.aishang.ctlcdn.com/00000110240282_1/encoder/0/playlist.m3u8?CONTENTID=00000110240282_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
4K,http://live.aishang.ctlcdn.com/00000110240282_1/playlist.m3u8?CONTENTID=00000110240282_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
4K修复,http://[2409:8087:2001:20:2800:0:df6e:eb15]/wh7f454c46tw1958249448_-1314265822/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8?icpid=3&RTS=1659435587&from=1&hms_devid=2115&vqe=3
4、翡翠台1080P,http://wssource.hls.inke.cn/live/1550484213952608/playlist.m3u8
9,http://w.nasvpn.xyz:8080/live/saya/saya/16577.ts?blog.ntnas.top
ABC Australia,mitv://generationnexxxt.com:19806/815a6eec4fc2408e91ac9c65dd022e33
Al Jazeera English,mitv://generationnexxxt.com:19806/1bd9840bd91540d682d5e94d2da57f55
Al-Hijrah,mitv://generationnexxxt.com:19806/33f428ade5ff429caef00da277e97d8f
Alhijrah,http://w.nasvpn.xyz:8080/live/saya/saya/186.ts?blog.ntnas.top
AMC最爱电影,mitv://generationnexxxt.com:19806/58687b9b7daf4540bf1ac962cb803e33
Animax,http://livecdn.fptplay.net/hda3/animaxport_2000.stream/chunklist.m3u8
Animax,https://livecdn.fptplay.net/hda3/animaxport_2000.stream/chunklist.m3u8
Animax,https://livecdn.fptplay.net/hda3/animaxport_hls.smil/playlist.m3u8
Animax,mitv://generationnexxxt.com:19806/6160b2115a0e4edb81ae6d1518335ca4
ANIPLUS HD,http://w.nasvpn.xyz:8080/live/saya/saya/3347.ts?blog.ntnas.top
ANIPLUS,http://w.nasvpn.xyz:8080/live/saya/saya/5210.ts?blog.ntnas.top
ARENA1_58,http://w.nasvpn.xyz:8080/live/saya/saya/16593.ts?blog.ntnas.top
Astro AEC HD,http://w.nasvpn.xyz:8080/live/saya/saya/3292.ts?blog.ntnas.top
Astro AEC,mitv://generationnexxxt.com:19806/875d8c48c2644c0499379d35c4fdbaca
Astro AEC,mitv://generationnexxxt.com:19806/de5119176891440292bd4a2b9b052027
Astro AOD 352,mitv://generationnexxxt.com:19806/f7fa209e91084d109db5f9abd10209ea
Astro AOD 354,mitv://generationnexxxt.com:19806/1069caf1275d4bbcb340b514b298b91c
Astro AOD HD 311,mitv://generationnexxxt.com:19806/a086b278f04548239a971e84a0a6319b
Astro Arena,mitv://generationnexxxt.com:19806/97e3c27a29d64bbf82cda889f37df110
Astro Awani HD,http://w.nasvpn.xyz:8080/live/saya/saya/4715.ts?blog.ntnas.top
Astro Awani,mitv://generationnexxxt.com:19806/6277ce966e284cc0b7b7c522d5ad93fa
Astro Ceria,mitv://generationnexxxt.com:19806/95a52b75ce354883a1de67fe835c8df9
Astro Citra HD,mitv://generationnexxxt.com:19806/d2ed6011414043e9a17470758f23eb4f
Astro Oasis HD,mitv://generationnexxxt.com:19806/3a8f5b92920e4ac2b4e96b82cb9606eb
astro OASIS,http://w.nasvpn.xyz:8080/live/saya/saya/16579.ts?blog.ntnas.top
astro oasis,http://w.nasvpn.xyz:8080/live/saya/saya/175.ts?blog.ntnas.top
astro PRIMA,http://w.nasvpn.xyz:8080/live/saya/saya/16578.ts?blog.ntnas.top
Astro Ria B,http://w.nasvpn.xyz:8080/live/saya/saya/7868.ts?blog.ntnas.top
Astro Ria HD,http://w.nasvpn.xyz:8080/live/saya/saya/11.ts?blog.ntnas.top
Astro SuperSport 2,mitv://generationnexxxt.com:19806/740b382a990f47d7a01ac104b0eb4c1c
astro SUPERSPORT 3,http://w.nasvpn.xyz:8080/live/saya/saya/16585.ts?blog.ntnas.top
Astro SuperSport 3,mitv://generationnexxxt.com:19806/edb97fe0fa5a44a19082b5d159130c87
Astro SuperSport 4,mitv://generationnexxxt.com:19806/e7a1e7b73d6d4beaa762f4d6154aeefc
Astro SuperSport 5,mitv://generationnexxxt.com:19806/5caf7bd91f12472aaa51c42f29032aea
Astro SuperSport,mitv://generationnexxxt.com:19806/ccdceb504e0044feaf8ac9b79f3bc5c7
Astro Tutor TV SK,mitv://generationnexxxt.com:19806/cba46fadf1bb443aa0ed5ad80674a32f
Astro Tutor TV SPM,mitv://generationnexxxt.com:19806/b9df09012d8b40408631c1b033e93941
Astro Vinmeen HD CH202,http://w.nasvpn.xyz:8080/live/saya/saya/7857.ts?blog.ntnas.top
Astro Warna HD,mitv://generationnexxxt.com:19806/cb299e0a6a7843ca87e0efcfe76f8247
Astro双星,mitv://generationnexxxt.com:19806/062d8daa2a814376ab4d0772be02e57e
Astro小太阳,mitv://generationnexxxt.com:19806/8f7b0aacc1134e5b9075fc9cf741b4c2
Astro欢喜台,mitv://generationnexxxt.com:19806/10ab6837378d4f0e8e80946d0b886f97
AT-X,https://sub2.neetball.net/live/neet.m3u8
Awesome TV,mitv://generationnexxxt.com:19806/ec5694c554f44861b5b3c99465962312
AXN HD MY,http://w.nasvpn.xyz:8080/live/saya/saya/5727.ts?blog.ntnas.top
AXN,mitv://generationnexxxt.com:19806/a61594ab252e4daea32355a520d2bca4
AXN亚洲,mitv://generationnexxxt.com:19806/16def74aebf046d6b444de576d967688
BABY HD,http://w.nasvpn.xyz:8080/live/saya/saya/7801.ts?blog.ntnas.top
BabyTV,http://50.7.238.114:8278/babytv_twn/playlist.m3u8?tid=MB3B7827650178276501&ct=18393&tsum=27fb0219125df6a523b97248cdf16d1b
BBC Earth,mitv://generationnexxxt.com:19806/be61544499f94e32b3052b523a3c0b3e
BBC Lifestyle,mitv://generationnexxxt.com:19806/973d4ba08d4a413f98e23fdc7f6bd2d6
BBC World News,mitv://generationnexxxt.com:19806/5a234e0bf20a497bb930c2b1fea11a16
BBC World News,mitv://generationnexxxt.com:19806/9c9898940f8442b28cc23caf6a4fd067
bbstv,http://ye23.win/iptv/korea2021.php?id=bbstv
beIN Sports 2,mitv://generationnexxxt.com:19806/354aed8838cd4a009055edbcd5b4e668
beIN Sports 3,mitv://generationnexxxt.com:19806/caa16aed3cb64f0e97bf0d58957511b1
beIN sports,http://w.nasvpn.xyz:8080/live/saya/saya/16586.ts?blog.ntnas.top
