数字付费,#genre#\\n
CCTV怀旧剧场,https://www.yangshipin.cn/tv/home?pid=600099620###WEB###logo:https://live.fanmingming.com/tv/%E6%80%80%E6%97%A7%E5%89%A7%E5%9C%BA.png\\n
CCTV第一剧场,https://www.yangshipin.cn/tv/home?pid=600099655###WEB\\n
CCTV风云剧场,https://www.yangshipin.cn/tv/home?pid=600099658###WEB\\n
1905,https://www.1905.com/xl/live/###WEB\\n
1905国外,https://www.1905.com/1905tv/live/###WEB\\n
湖南电影,https://live.mgtv.com/?channelId=221###WEB\\n
湖南电视剧,https://live.mgtv.com/?channelId=484###WEB\\n
金鹰卡通,https://live.mgtv.com/?channelId=287###WEB\\n
卡酷少儿,https://www.brtn.cn/btv/btvsy_index###WEB\\n
五星体育,https://345iptv.com/?act=play&token=9fa87d920753334989e49e5eaa274c92&tid=ty&id=5&p=0###WEB\\n
CCTV第一剧场,http://8.146.211.219:2001/live_tv?pid=600099655###HLS\\n
CCTV风云剧场,http://8.146.211.219:2001/live_tv?pid=600099658###HLS\\n
CCTV怀旧剧场,http://8.146.211.219:2001/live_tv?pid=600099620###HLS\\n
\\n
CHC家庭影院,http://z.b.bkpcp.top/m.php?id=jtyy###HLS\\n
CHC动作电影,http://z.b.bkpcp.top/m.php?id=dzdy###HLS\\n
1905,http://php.jdshipin.com:8880/1905.php?id=1905dy###HLS\\n
1905国外,http://php.jdshipin.com:8880/1905.php?id=1905dy2###HLS\\n
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=fd695c444eeee99cc6122ed396c805ba&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce156759645768df95bf77749da61fcc901&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2###HLS\\n
斗鱼电影-邵氏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519###HLS\\n
新昌休闲影院,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8###HLS\\n
星光综合台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv###HLS\\n
绍兴影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8###HLS\\n
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv###HLS\\n
重温经典,http://mtw.so/5NPX0U###HLS\\n
湖南电视剧,http://php.jdshipin.com:8880/iptv.php?id=hndsj###HLS\\n
湖南电视剧,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndsj###HLS\\n
美国摔跤,https://d2p372oxiwmcn1.cloudfront.net:443/hls/1080p/playlist.m3u8###HLS\\n
香港电影,http://swrh.ngtanyanfei.top:8081/dl/migu.php?id=xpfyt###HLS\\n
广东影视,http://z.b.bkpcp.top/m.php?id=gdys###HLS\\n
东方影视,http://z.b.bkpcp.top/m.php?id=shys###HLS\\n
欢笑剧场,http://z.b.bkpcp.top/m.php?id=hxjc###HLS\\n
经典动画大集合,http://211.101.234.24:68/公众号猫月牙/mg.php?id=经典动画大集合###HLS\\n
老故事,http://211.101.234.24:68/公众号猫月牙/mg.php?id=老故事###HLS\\n
金鹰卡通,https://stream1.freetv.fun/04c887f5ef1094da7dee8aa04f8c3d763c80977655b913034c1c93e3883a91bb.m3u8###HLS\\n
魅力足球,http://211.101.234.24:68/公众号猫月牙/mg.php?id=魅力足球###HLS\\n
优漫卡通频道,http://211.101.234.24:68/公众号猫月牙/mg.php?id=优漫卡通频道###HLS\\n
嘉佳卡通,http://211.101.234.24:68/公众号猫月牙/mg.php?id=嘉佳卡通###HLS\\n
24H国漫热播,https://lunbo.freetv.top/yy/1353937086###HLS\\n
公共新闻频道,http://211.101.234.24:68/公众号猫月牙/mg.php?id=公共新闻频道###HLS\\n
军事迷必看大片,http://211.101.234.24:68/公众号猫月牙/mg.php?id=军事迷必看大片###HLS\\n
BTV卡酷少儿,http://joyznm.i234.me:20000/udp/239.3.1.234:8000###HLS\\n
BTV卡酷少儿高清,http://joyznm.i234.me:20000/udp/239.3.1.189:8000###des:1080P###HLS\\n
动画,http://joyznm.i234.me:20000/udp/239.3.1.80:4120###HLS\\n
嘉佳卡通,http://joyznm.i234.me:20000/udp/239.3.1.147:9268###HLS\\n
金鹰卡通,http://joyznm.i234.me:20000/udp/239.3.1.51:9252###HLS\\n
IPTV少儿动画,http://joyznm.i234.me:20000/udp/239.3.1.199:9000###HLS\\n
IPTV收视指南,http://joyznm.i234.me:20000/udp/239.3.1.193:8012###HLS\\n
IPTV热播剧场,http://joyznm.i234.me:20000/udp/239.3.1.194:9020###HLS\\n
IPTV经典电影,http://joyznm.i234.me:20000/udp/239.3.1.195:9024###HLS\\n
IPTV魅力时尚,http://joyznm.i234.me:20000/udp/239.3.1.196:9012###HLS\\n
4K超清,http://joyznm.i234.me:20000/udp/239.3.1.249:8001###HLS\\n
BTV体育休闲,http://joyznm.i234.me:20000/udp/239.3.1.97:8001###HLS\\n
BTV国际频道,http://joyznm.i234.me:20000/udp/239.3.1.235:8000###HLS\\n
BTV影视,http://joyznm.i234.me:20000/udp/239.3.1.158:8000###des:1080P###HLS\\n
BTV影视,http://joyznm.i234.me:20000/udp/239.3.1.228:8000###des:720P###HLS\\n
BTV文艺,http://joyznm.i234.me:20000/udp/239.3.1.226:8000###des:720P###HLS\\n
BTV文艺,http://joyznm.i234.me:20000/udp/239.3.1.242:8000###des:1080P###HLS\\n
BTV新闻,http://joyznm.i234.me:20000/udp/239.3.1.159:8000###des:1080P###HLS\\n
BTV新闻,http://joyznm.i234.me:20000/udp/239.3.1.233:8000###des:720P###HLS\\n
BTV生活,http://joyznm.i234.me:20000/udp/239.3.1.117:8000###des:1080P###HLS\\n
BTV生活,http://joyznm.i234.me:20000/udp/239.3.1.231:8000###des:720P###HLS\\n
BTV科教,http://joyznm.i234.me:20000/udp/239.3.1.115:8000###des:1080P###HLS\\n
BTV科教,http://joyznm.i234.me:20000/udp/239.3.1.227:8000###des:720P###HLS\\n
BTV财经,http://joyznm.i234.me:20000/udp/239.3.1.116:8000###des:1080P###HLS\\n
BTV财经,http://joyznm.i234.me:20000/udp/239.3.1.229:8000###des:720P###HLS\\n
三沙卫视,http://joyznm.i234.me:20000/udp/239.3.1.155:4120###HLS\\n
光影,http://joyznm.i234.me:20000/udp/239.3.1.84:4120###HLS\\n
军事,http://joyznm.i234.me:20000/udp/239.3.1.76:4120###HLS\\n
军旅剧场,http://joyznm.i234.me:20000/udp/239.3.1.68:4120###HLS\\n
动作影院,http://joyznm.i234.me:20000/udp/239.3.1.92:4120###HLS\\n
古装剧场,http://joyznm.i234.me:20000/udp/239.3.1.69:4120###HLS\\n
台球,http://joyznm.i234.me:20000/udp/239.3.1.85:4120###HLS\\n
喜剧影院,http://joyznm.i234.me:20000/udp/239.3.1.91:4120###HLS\\n
国学,http://joyznm.i234.me:20000/udp/239.3.1.77:4120###HLS\\n
城市剧场,http://joyznm.i234.me:20000/udp/239.3.1.67:4120###HLS\\n
墨宝,http://joyznm.i234.me:20000/udp/239.3.1.83:4120###HLS\\n
家庭影院,http://joyznm.i234.me:20000/udp/239.3.1.93:4120###HLS\\n
密云电视台,http://joyznm.i234.me:20000/udp/239.3.1.154:8001###des:1080P###HLS\\n
快乐垂钓,http://joyznm.i234.me:20000/udp/239.3.1.164:8001###des:1080P###HLS\\n
戏曲,http://joyznm.i234.me:20000/udp/239.3.1.78:4120###HLS\\n
房山电视台,http://joyznm.i234.me:20000/udp/239.3.1.96:8001###des:1080P###HLS\\n
早教,http://joyznm.i234.me:20000/udp/239.3.1.79:4120###HLS\\n
星影,http://joyznm.i234.me:20000/udp/239.3.1.94:4120###HLS\\n
朝阳融媒,http://joyznm.i234.me:20000/udp/239.3.1.163:8001###HLS\\n
武侠剧场,http://joyznm.i234.me:20000/udp/239.3.1.90:4120###HLS\\n
武术,http://joyznm.i234.me:20000/udp/239.3.1.87:4120###HLS\\n
淘BABY,http://joyznm.i234.me:20000/udp/239.3.1.238:8001###des:1080P###HLS\\n
淘剧场,http://joyznm.i234.me:20000/udp/239.3.1.95:8001###des:1080P###HLS\\n
淘剧场,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226553/1.m3u8?&accountinfo=%7E%7EV2.0%7EQaJ92NID2SpQlY6_VJVogg%7EQ8NsqL2Ii48SUgC4QMl6hh6MtnXuZ2CwNhT-dTFoMLL2G3Q2BYmATYXRv1nKmDi5C1jJAt50zoNF4cIM-01_7rCa0ZemjVk37nsYr4Zr0bk%7EExtInfo9bj61dxzlMXrsixrqcFYPg%2CEND&GuardEncType=2###HLS\\n
淘娱乐,http://joyznm.i234.me:20000/udp/239.3.1.100:8001###des:1080P###HLS\\n
淘电影,http://joyznm.i234.me:20000/udp/239.3.1.250:8001###des:1080P###HLS\\n
淘电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226552/1.m3u8?accountinfo=%7E%7EV2.0%7EXOsrWMA-UCdUl1hQSR9EKw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND&GuardEncType=2###HLS\\n
爱上4K,http://joyznm.i234.me:20000/udp/239.3.1.236:2000###HLS\\n
